./init-sources/guava_guava_08.JPG has [0.003, 0, 0, 0, 0, 1641.345, 320.811, 3174.2, 940.143, 881.0, 72.614, 77.594, 317.041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2267.0, 0, 3842.0, 5291.0, 128.073, 103.447, 590.231, 0, 0, 0, 0]
./init-sources/raspberry_raspberry-01.jpg has [0.227, 0.003, 0.174, 0.061, 0.0, 0.031, 1.575, 1.021, 0.049, 0.471, 5.149, 0.797, 0.321, 0.063, 0.041, 0.0, 0.0, 0.002, 0.106, 0.038, 0.0, 0.03, 1.221, 0.808, 0.04, 0.482, 5.116, 0.753, 0.357, 0.065, 0.04, 0.0, 0.0]
./init-sources/monstera_monstera_03.jpg has [0.021, 0.0, 0.475, 0.493, 0.0, 0.13, 2.185, 5.915, 0.373, 0.156, 2.252, 3.341, 0.27, 0.0, 0.166, 0.888, 0.019, 0.0, 0.504, 0.499, 0.0, 0.149, 2.385, 6.36, 0.376, 0.173, 2.594, 3.346, 0.258, 0.0, 0.168, 0.903, 0.019]
./init-sources/monstera_monstera_02.jpg has [0.132, 0.277, 0.724, 0.854, 0.25, 0.562, 1.743, 5.923, 0.853, 0.495, 0.88, 5.705, 0.719, 0.001, 1.557, 1.635, 3.796, 0.268, 0.643, 0.818, 0.257, 0.574, 1.597, 5.233, 1.226, 0.438, 0.7, 6.696, 0.686, 0.001, 1.471, 1.484, 2.823]
./init-sources/guava_guava_09.JPG has [0.003, 0, 0, 0, 0, 0, 6803.0, 9524.6, 2561.0, 651.438, 156.709, 196.627, 23057.0, 0, 0, 5763.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 480.091, 0, 406.077, 0, 0, 0, 0, 0]
./init-sources/pomegranate_pomegranate_06.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 3662.692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5291.0, 0, 0, 0, 0, 0, 0, 0]
./init-sources/maple_maple_06.jpg has [0.019, 229.087, 27.132, 7.343, 94.085, 8.633, 7.887, 1.546, 3.69, 4.598, 2.063, 0.162, 4.729, 6.165, 3.669, 1.328, 10.987, 171.565, 38.69, 7.075, 71.509, 6.347, 57.583, 0.845, 2.659, 3.052, 1.149, 0.03, 2.505, 4.801, 1.453, 1.026, 10.574]
./init-sources/alstonia_alstonia_08.JPG has [0.005, 0, 0, 0, 0, 0, 0, 193.4, 141.774, 19.284, 26.82, 49.939, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146.0, 113.716, 13.407, 19.354, 37.441, 0, 0, 0, 0, 0]
./init-sources/maple_maple_04.jpg has [0.016, 0.001, 0.163, 0.143, 0.0, 0.526, 1.338, 1.12, 0.217, 0.145, 0.96, 0.685, 0.049, 0.0, 0.009, 0.0, 0.0, 0.0, 0.038, 0.08, 0.0, 0.706, 1.78, 1.371, 0.153, 0.165, 1.596, 0.281, 0.002, 0.0, 0.0, 0.0, 0.0]
./init-sources/pomegranate_pomegranate_04.JPG has [0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
./init-sources/pomegranate_pomegranate_10.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 743.188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2645.0, 0, 0, 0, 0, 0, 0, 0]
./init-sources/raspberry_raspberry-02.jpg has [0.339, 0.0, 0.002, 0.551, 0.683, 0.272, 0.18, 2.516, 1.445, 0.353, 1.854, 1.347, 0.315, 0.001, 0.138, 0.993, 0.257, 0.0, 0.001, 0.367, 0.518, 0.22, 0.156, 1.505, 1.631, 0.214, 1.362, 1.601, 0.297, 0.001, 0.124, 1.045, 0.218]
./init-sources/monstera_monstera_01.jpg has [0.112, 0.24, 2.143, 1.601, 0.166, 1.376, 2.177, 3.228, 1.082, 1.503, 3.238, 1.997, 1.832, 0.383, 2.687, 9.81, 1.291, 0.238, 2.03, 1.546, 0.164, 1.345, 1.895, 3.138, 1.05, 1.511, 3.106, 1.977, 1.768, 0.39, 2.654, 9.757, 1.234]
./init-sources/raspberry_raspberry-03.jpg has [0.035, 0.026, 0.103, 0.132, 0.087, 0.354, 1.31, 0.841, 0.31, 0.016, 0.27, 1.076, 0.122, 0.0, 0.073, 0.284, 0.003, 0.001, 0.004, 0.003, 0.0, 0.122, 0.652, 0.164, 0.015, 0.002, 0.077, 0.2, 0.009, 0.0, 0.053, 0.064, 0.0]
./init-sources/pomegranate_pomegranate_05.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1843.64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2561.0, 0, 0, 0, 0]
./init-sources/maple_maple_05.jpg has [0.024, 0.0, 0.234, 0.204, 0.0, 0.605, 2.273, 1.924, 0.768, 0.367, 11.015, 14.275, 0.404, 0.011, 0.14, 0.056, 0.039, 0.0, 0.273, 0.217, 0.0, 0.731, 3.153, 3.092, 0.803, 0.37, 23.164, 14.94, 0.401, 0.009, 0.15, 0.062, 0.039]
./init-sources/alstonia_alstonia_09.JPG has [0.003, 0, 0, 0, 0, 29.967, 11.988, 19.583, 0, 0, 26.138, 28.13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.892, 56.522, 0, 0, 0, 35.082, 99.481, 0, 0, 0, 0, 0]
./init-sources/bamboo_bamboo_04.jpg has [0.177, 0.0, 0.035, 0.0, 0.0, 0.025, 0.52, 0.332, 0.024, 0.194, 0.248, 0.507, 0.078, 0.005, 0.0, 0.0, 0.0, 0.0, 0.046, 0.0, 0.0, 0.026, 0.594, 0.322, 0.019, 0.204, 0.205, 0.4, 0.043, 0.006, 0.0, 0.0, 0.0]
./init-sources/pomegranate_pomegranate_01.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 47627.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
./init-sources/maple_maple_01.jpg has [0.35, 0, 2.459, 4.314, 92.164, 2.862, 0.602, 1.092, 1.493, 1.107, 0.671, 0.594, 1.614, 3.243, 2.243, 5.477, 11.842, 0, 1.707, 2.466, 61.743, 2.174, 0.207, 0.463, 0.748, 0.52, 0.115, 0.13, 0.707, 2.061, 1.179, 3.756, 8.043]
./init-sources/monstera_monstera_05.png has [1.383, 0.0, 0.506, 1.049, 0.019, 0.28, 5.091, 7.948, 0.455, 0.46, 9.097, 11.939, 0.685, 0.076, 1.242, 0.728, 0.08, 0.0, 0.502, 1.042, 0.018, 0.278, 5.002, 7.939, 0.455, 0.456, 9.042, 11.907, 0.685, 0.076, 1.24, 0.727, 0.079]
./init-sources/monstera_monstera_04.jpg has [1.515, 0.011, 0.796, 0.533, 0.044, 0.57, 8.937, 3.358, 0.456, 0.518, 82.412, 9.054, 0.461, 0.008, 0.391, 0.748, 0.027, 0.01, 0.793, 0.527, 0.044, 0.567, 8.812, 3.314, 0.449, 0.516, 76.444, 8.954, 0.456, 0.008, 0.387, 0.746, 0.027]
./init-sources/bamboo_bamboo_01.jpg has [0.187, 0.0, 0.132, 0.07, 0.0, 0.039, 0.688, 0.995, 0.042, 0.007, 1.029, 3.77, 0.001, 0.0, 0.07, 0.225, 0.0, 0.0, 0.144, 0.073, 0.0, 0.044, 0.79, 0.904, 0.052, 0.007, 1.105, 4.24, 0.001, 0.0, 0.075, 0.241, 0.0]
./init-sources/bamboo_bamboo_03.jpg has [0.089, 0.002, 0.066, 0.0, 0.0, 0.073, 0.46, 0.024, 0.055, 0.04, 0.771, 0.799, 0.019, 0.008, 0.366, 0.453, 0.107, 0.0, 0.001, 0.0, 0.0, 0.0, 0.273, 0.026, 0.065, 0.03, 0.712, 0.953, 0.024, 0.008, 0.389, 0.435, 0.113]
./init-sources/pomegranate_pomegranate_02.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4191.364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
./init-sources/maple_maple_02.jpg has [0.019, 0.0, 0.193, 0.16, 0.0, 0.375, 2.61, 2.551, 0.616, 0.384, 31.138, 19.627, 0.439, 0.014, 0.37, 0.379, 0.021, 0.0, 0.22, 0.167, 0.0, 0.504, 3.04, 2.716, 0.723, 0.503, 117.478, 45.017, 0.477, 0.018, 0.429, 0.5, 0.025]
./init-sources/others_leaf_09.png has [0.285, 2380.4, 5.913, 16.878, 0, 131.669, 2.313, 3.28, 18.466, 280.822, 9.879, 3.58, 23.31, 0, 26.664, 35.255, 0, 1983.5, 4.933, 16.408, 0, 125.0, 1.571, 3.388, 24.535, 272.724, 11.027, 3.712, 38.415, 0, 38.619, 52.748, 0]
./init-sources/raspberry_raspberry-04.jpg has [0.019, 0.078, 0.12, 0.006, 0.034, 0.17, 0.473, 0.472, 0.2, 0.063, 0.574, 0.921, 0.11, 0.09, 0.404, 0.194, 0.002, 0.0, 0.0, 0.0, 0.0, 0.004, 0.017, 0.073, 0.005, 0.006, 0.196, 0.248, 0.003, 0.003, 0.037, 0.012, 0.0]
./init-sources/monstera_monstera_06.jpg has [0.037, 0.0, 0.382, 0.453, 0.0, 0.151, 4.166, 2.944, 0.167, 0.169, 6.989, 5.408, 0.402, 0.0, 0.249, 0.486, 0.009, 0.0, 0.381, 0.451, 0.0, 0.151, 4.224, 2.768, 0.163, 0.17, 6.457, 5.293, 0.398, 0.0, 0.247, 0.475, 0.009]
./init-sources/raspberry_raspberry-05.jpg has [0.075, 0.282, 0.603, 0.277, 0.0, 1.456, 2.711, 2.365, 0.22, 0.582, 2.872, 4.848, 1.691, 0.004, 0.243, 0.362, 0.248, 0.196, 0.332, 0.135, 0.0, 0.772, 2.515, 2.01, 0.234, 0.367, 2.297, 6.273, 1.903, 0.004, 0.274, 0.406, 0.254]
./init-sources/others_leaf_08.png has [0.657, 6.492, 1.996, 1.656, 6.113, 1.867, 1.718, 1.78, 2.505, 2.144, 2.027, 2.014, 3.146, 20.174, 7.654, 4.491, 11.999, 3.422, 1.038, 0.146, 2.621, 0.668, 0.589, 0.215, 0.797, 0.773, 1.697, 0.893, 1.752, 13.939, 7.455, 5.997, 15.63]
./init-sources/others_leaf_11.jpeg has [0.031, 0.0, 0.165, 0.189, 0.0, 0.073, 1.756, 3.431, 0.048, 0.183, 2.19, 6.049, 0.063, 0.0, 0.072, 0.072, 0.0, 0.0, 0.101, 0.185, 0.0, 0.072, 0.871, 4.813, 0.064, 0.184, 1.367, 13.213, 0.077, 0.0, 0.061, 0.072, 0.0]
